source_id,source_name,organization,data_type,commercial_or_public,country,geographic_scope,population_description,approx_population,longitudinal,lpa_available,lpa_units_mg_dl,lpa_units_nmol_l,lpa_assay_documented,ascvd,myocardial_infarction,stroke,revascularization,aortic_stenosis,heart_failure,mortality,medications,dispensing_claims,healthcare_utilization,cost_data,insurance_payer,race_ethnicity,socioeconomic_variables,genetic_data,imaging_data,testing_patterns_use,epidemiology_use,cv_outcomes_use,treatment_patterns_use,health_equity_use,heor_use,genetics_use,key_strengths,key_limitations,published_lpa_example,primary_source,secondary_source,last_verified,verification_status
UKB,UK Biobank,UK Biobank,Population cohort / biobank,Research-access,United Kingdom,United Kingdom,"Large volunteer cohort with deep phenotyping, biomarkers, linked health records, imaging and genetics.","~500,000 enrolled; multiple published Lp(a) analyses >300,000",Yes,Yes,Partial,Yes,Partial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Partial,Limited,Limited,Yes,Yes,Yes,Yes,1,3,3,2,2,1,3,Very large measured-Lp(a) sample; genetics; imaging; long follow-up; rich cardiovascular phenotypes.,Volunteer cohort; UK generalizability; limited payer/cost detail; assay harmonization needs.,Patel et al. 2020; Bhatia et al. 2025; multiple 2026 UK Biobank Lp(a) studies.,https://www.ukbiobank.ac.uk/projects/lipoproteina-and-cardiovascular-disease-risk/,https://www.ukbiobank.ac.uk/publications/lpa-lipoproteina-concentrations-and-incident-atherosclerotic-cardiovascular-disease-new-insights-from-a-large-national-biobank/,2026-09-09,High
AOU,All of Us Research Program,National Institutes of Health,Longitudinal cohort / EHR / biobank,Public research program,United States,United States,"Diverse U.S. participant cohort integrating EHR, surveys, biospecimens, physical measures and genomics.","266,612 adults with EHR in published Lp(a) analysis; program designed for >1 million participants",Yes,Yes,Yes,Yes,Partial,Yes,Yes,Yes,Partial,Yes,Yes,Partial,Yes,Limited,Partial,Limited,Yes,Yes,Yes,Yes,Partial,3,2,2,2,3,1,3,Diverse U.S. cohort; EHR + SDOH + genomics; direct proof of Lp(a) testing in mg/dL and nmol/L.,Lp(a) testing sparse; EHR incompleteness; volunteer/convenience sample.,"Prevalence and Correlates of Lp(a) Testing in a Diverse Cohort of U.S. Adults, JACC: Advances, 2025.",https://www.jacc.org/doi/10.1016/j.jacadv.2025.101826,https://www.researchallofus.org/,2026-09-09,High
MESA,Multi-Ethnic Study of Atherosclerosis (MESA),NHLBI / collaborating institutions,Prospective cardiovascular cohort,Public research cohort,United States,Multi-site United States,Multi-ethnic prospective cohort focused on subclinical and clinical cardiovascular disease.,"~6,800 enrolled; 6,670 with Lp(a) in 2025 PREVENT analysis",Yes,Yes,Yes,Partial,Yes,Yes,Yes,Yes,Yes,Partial,Yes,Yes,Yes,No,Limited,No,Partial,Yes,Yes,Yes,Yes,1,3,3,1,3,0,3,"Deep CVD phenotyping, imaging, diversity, long-term outcomes, measured Lp(a).",Smaller than EHR/claims networks; not designed for contemporary cost analyses.,"Bhatia et al., JAMA Cardiology 2025; Mehta et al., JACC 2024 pooled cohort.",https://www.jacc.org/doi/10.1016/j.jacc.2024.02.031,https://www.ukbiobank.ac.uk/publications/aha-prevent-equations-and-lipoproteina-for-cardiovascular-disease-risk/,2026-09-09,High
ARIC,Atherosclerosis Risk in Communities (ARIC) Study,NHLBI / collaborating institutions,Prospective cardiovascular cohort,Public research cohort,United States,Four U.S. communities,Long-running prospective study of cardiovascular risk and outcomes in U.S. communities.,"~15,000 original cohort; contributes Lp(a) data to pooled U.S. analyses",Yes,Yes,Yes,Partial,Yes,Yes,Yes,Yes,Yes,Partial,Yes,Yes,Yes,No,Limited,No,Partial,Yes,Yes,Yes,Yes,0,3,3,1,2,0,3,"Long follow-up, rich CVD phenotyping, Lp(a), genetics and major cardiovascular outcomes.","Historical cohort/assays; limited contemporary prescribing, payer and cost data.","Mehta et al., JACC 2024 pooled cohort; Nomura et al., JAHA 2025.",https://www.jacc.org/doi/10.1016/j.jacc.2024.02.031,https://pubmed.ncbi.nlm.nih.gov/40417812/,2026-09-09,High
CARDIA,CARDIA,NHLBI / collaborating institutions,Prospective cardiovascular cohort,Public research cohort,United States,Multi-site United States,Prospective cohort beginning in young adulthood with repeated cardiovascular risk-factor examinations.,"~5,100 original cohort; contributes Lp(a) data to 27,756-person pooled analysis",Yes,Yes,Yes,Partial,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,No,Limited,No,Partial,Yes,Yes,Yes,Yes,0,3,3,1,3,0,2,"Life-course perspective, racial diversity, repeated phenotyping and long follow-up.",Modest sample size; historical measurements; little direct cost/claims detail.,"Mehta et al., JACC 2024 pooled multi-ethnic prospective cohort.",https://www.jacc.org/doi/10.1016/j.jacc.2024.02.031,,2026-09-09,Moderate-High
FHSOS,Framingham Heart Study – Offspring Cohort,NHLBI / Boston University,Prospective cardiovascular cohort,Public research cohort,United States,"Framingham, Massachusetts",Longitudinal offspring cohort with repeated cardiovascular examinations and event follow-up.,"~5,100 original offspring; thousands with historical Lp(a) measures",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Yes,Yes,Yes,No,Limited,No,Limited,Limited,Yes,Yes,Yes,0,3,3,1,1,0,3,"Exceptionally long follow-up, detailed CVD phenotyping and historical Lp(a) assay documentation.",Historically less diverse; older assay eras; limited contemporary utilization/cost data.,Lamon-Fava et al. 2011; Mehta et al. JACC 2024.,https://pubmed.ncbi.nlm.nih.gov/21478162/,https://www.jacc.org/doi/10.1016/j.jacc.2024.02.031,2026-09-09,High
JHS,Jackson Heart Study,NHLBI / NIMHD / partner institutions,Prospective cardiovascular cohort,Public research cohort,United States,"Jackson, Mississippi area","Long-term community-based cohort of more than 5,300 African American adults.",">5,300 enrolled",Yes,Yes,Partial,Unknown,Yes,Yes,Yes,Yes,Partial,Unknown,Yes,Yes,Yes,No,Limited,No,Partial,Yes,Yes,Yes,Yes,0,3,3,1,3,0,3,"Purpose-built Black cardiovascular cohort; rich SDOH, genomics and longitudinal phenotyping.",Regional cohort; modest size; not designed for contemporary claims/cost analyses.,"Li et al., Journal of Human Genetics 2015; Mehta et al., JACC 2024.",https://www.jacksonheartstudy.org/,https://pubmed.ncbi.nlm.nih.gov/26377243/,2026-09-09,High
EPIC,Epic Cosmos,Epic,Aggregated/deidentified EHR network,Commercial / institutional network,United States-centered,All 50 U.S. states plus participating international sites,"Large EHR-derived network from Epic health systems, used for national Lp(a) testing analyses.",>300 million patient records in 2025 Lp(a) publication,Yes,Yes,Yes,Yes,Partial,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Yes,Partial,Yes,Limited,Partial,Yes,Partial,Limited,Partial,3,2,2,3,2,1,0,"Huge scale, current clinical testing behavior, geography/demographics, both mass and molar units.",Access is governed; EHR completeness and outcome validation vary; limited direct costs.,"Ramsis et al., JACC: Advances 2025.",https://www.jacc.org/doi/10.1016/j.jacadv.2025.102205,,2026-09-09,High
TRINETX,TriNetX,TriNetX,Federated EHR / RWD network,Commercial network,Multi-country; U.S. network available,Multi-institutional / international,Federated clinical network supporting aggregate cohort queries and observational analyses.,"123,234,330 U.S. adults in 2026 Lp(a) testing analysis",Yes,Yes,Yes,Yes,Partial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Yes,Limited,Partial,Yes,Partial,Limited,Limited,3,2,2,3,2,1,0,"Very large scale; rapid cohort feasibility; measured Lp(a), outcomes and medications.",Site heterogeneity; variable completeness; limited cost detail; assay metadata may be incomplete.,"Kassab & Harb, JACC 2026 nationwide TriNetX analysis.",https://www.jacc.org/doi/10.1016/j.jacc.2026.02.438,,2026-09-09,High
OPTUMCDM,Optum Clinformatics Data Mart + laboratory data,Optum,Administrative claims with laboratory subset/linkage,Commercial,United States,United States,Longitudinal medical and pharmacy claims with eligibility data; a subset has laboratory results.,Large insured U.S. population; published Lp(a) study notes lab data for ~30% in database environment,Yes,Yes,Yes,Yes,Partial,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Yes,Yes,Yes,Yes,Yes,Partial,Partial,No,No,2,2,3,3,1,3,0,Claims + pharmacy + eligibility + utilization/costs with Lp(a) laboratory subset.,Insured population; labs only for subset; limited genetics/clinical depth.,"Characteristics and lipid lowering treatment patterns in patients tested for Lp(a), 2023.",https://pmc.ncbi.nlm.nih.gov/articles/PMC10015179/,,2026-09-09,High
